id,address,at_street,description,latitude,longitude,municipality,name,on_street
"node-astao-revdoorstair-lobby",,,"Assembly - Top of stairs for Revolution Drive","42.392158","-71.077406","Somerville","Assembly",
"node-967-nbplatform",,,"State - Bottom of Elevator 967 between Oak Grove platform and Wonderland platform, Forest Hills passageway",,,"Boston","State",
"7201",,"Mayfair Street",,"42.491061","-70.958774","Lynn","Broadway opp Mayfair St","Broadway"
"5711",,"Elmwood Avenue",,"42.413516","-71.010219","Revere","570 Broadway @ Elmwood Ave","Broadway"
"place-clmnl","Beacon St and Chestnut Hill Ave, Brighton, MA",,,"42.336142","-71.149326","Boston","Cleveland Circle",
"4171",,"Pond Street",,"42.191714","-71.059514","Randolph","N Main St @ Reed St","North Main Street"
"3298",,"Empire Street",,"42.257883","-70.971888","Quincy","Palmer St @ Forbush Ave","Palmer Street"
"262",,"H Street",,"42.331302","-71.041552","Boston","E 8th St @ H St","East Eighth Street"
"1772",,"Brookline Street",,"42.355065","-71.110476","Cambridge","Granite St @ Brookline St","Granite Street"
"node-kencl-fareunpaid",,,"Kenmore - Unpaid side of fare gates",,,"Boston","Kenmore",
"FR-0219-B",,,"West Concord - Commuter Rail Shuttle","42.456928","-71.394097","Concord","West Concord",
"9070156",,,"Arlington - Green Line Park St & North Shuttle","42.351765","-71.070881","Boston","Arlington",
"node-wtcst-wtctstairs-landing",,,"World Trade Center - Bottom of second flight of World Trade Center entrance stairs",,,"Boston","World Trade Center",
"2279",,"Linwood Street",,"42.409321","-71.146681","Arlington","Massachusetts Ave @ Foster St","Massachusetts Avenue"
"46276",,"Adams Street",,"42.417248","-71.016434","Revere","Cushman Ave @ Adams St","Cushman Avenue"
"5392",,"Pelham Street",,"42.420159","-71.061447","Malden","Cross St @ Pelham St","Cross Street"
"3936",,"Clark Street",,"42.217701","-71.00306","Braintree","Washington St @ Clark St","Washington Street"
"6138",,"Porter Street",,"42.472468","-70.933213","Lynn","Essex St @ Porter St","Essex Street"
"1145",,,,"42.329752","-71.090903","Boston","42A John Eliot Sq","Dudley Street"
"8537",,"Wheeler Road",,"42.312077","-71.196618","Newton","Parker St opp Wheeler Rd","Parker Street"
"2875",,"North Union Street",,"42.387545","-71.078257","Somerville","Mystic Ave @ North Union St","Mystic Avenue"
"111823",,"Meadow Road",,"42.255329","-70.851812","Hingham","Rockland St from Kilby St to Nantasket Ave (FLAG)","Rockland Street"
"33691",,"Beaufield Street",,"42.28202","-71.055323","Boston","Granite Ave @ Gallivan Blvd","Granite Avenue"
"6478",,"Cummins Highway",,"42.279969","-71.118822","Boston","Hyde Park Ave @ Cummins Hwy","Hyde Park Avenue"
"5754",,"Green Street",,"42.398643","-71.023637","Chelsea","Broadway @ Green St","Broadway"
"NEC-2287-07",,,"South Station - Commuter Rail - Track 7","42.351178","-71.055238","Boston","South Station",
"node-843-lobby",,,"Forest Hills - Top of lower busway elevator","42.300601","-71.113674","Boston","Forest Hills",
"9070",,"Lynn Street",,"42.436065","-71.021736","Malden","Salem St @ Lynn St","Salem Street"
"node-938-platform",,,"Courthouse - Bottom of elevator between outbound platform and lobby",,,"Boston","Courthouse",
"NEC-1919-01",,,"South Attleboro - Commuter Rail - Track 1 (Outbound)","41.897943","-71.354621","Attleboro","South Attleboro",
"8627",,"Elena Road",,"42.441703","-71.253166","Lexington","Marrett Rd @ Elena Rd","Marrett Road"
"4244",,"Fitch Terrace",,"42.153266","-71.044939","Randolph","S Main St opp Fitch Terr","South Main Street"
"96735",,"Edison Street",,"42.475514","-70.997329","Saugus","Walnut St opp Edison St","Walnut Street"
"70120",,,"Washington Street - Green Line - Park Street & North","42.344329","-71.142385","Boston","Washington Street",
"node-mlmnl-fareunpaid",,,"Malden Center - Unpaid side of fare gates","42.426814","-71.074214","Malden","Malden Center",
"1252",,"Northampton Street",,"42.33884","-71.081337","Boston","Tremont St @ Northampton St","Tremont Street"
"place-engav","Beacon St and Englewood Ave, Brookline, MA",,,"42.336971","-71.14566","Brookline","Englewood Avenue",
