id,label,bearing,current_stop_sequence,direction_id,longitude,latitude,speed,updated_at,current_status,route_id,stop_id
"y1277","1277","45","2","1","-71.0818","42.33185","None","2025-05-01T19:46:04-04:00","IN_TRANSIT_TO","","","751","3"
"G-10420","3716-3867","305","650","1","-71.07605","42.37131","4.6","2025-05-01T19:46:07-04:00","STOPPED_AT","","","Green-D","70501"
"y2026","2026","233","1","0","-71.0733137","42.38724633","None","2025-05-01T19:46:10-04:00","STOPPED_AT","","","132","5072"
"y3299","3299","85","33","1","-71.20699475","42.33594579","None","2025-05-01T19:46:11-04:00","STOPPED_AT","","","59","8160"
"ynk316","316","244","None","None","-71.81070455","42.23643969","None","2025-05-01T19:46:11-04:00","IN_TRANSIT_TO","","","Shuttle-Generic",""
"y1861","1861","321","17","0","-71.0994289","42.36284313","None","2025-05-01T19:46:08-04:00","STOPPED_AT","","","1","101"
"y1203","1203","0","2","1","-71.0936","42.26876","None","2025-05-01T19:46:04-04:00","STOPPED_AT","","","28","1722"
"G-10259","3688","305","None","1","-71.07962","42.37319","1.2","2025-05-01T19:45:11-04:00","IN_TRANSIT_TO","","","Green-C",""
"y1223","1223","228","15","0","-71.08329089","42.310405809","None","2025-05-01T19:46:10-04:00","STOPPED_AT","","","28","412"
"y1851","1851","225","1","0","-71.089094309","42.3366098","None","2025-05-01T19:43:42-04:00","STOPPED_AT","","","22","17862"
"y3122","3122","16","29","1","-71.07528292","42.38439492","None","2025-05-01T19:46:08-04:00","IN_TRANSIT_TO","","","90","28742"
"R-5482D15B","1706","10","220","0","-71.00135","42.2097","None","2025-05-01T19:45:38-04:00","INCOMING_AT","","","Red","70105"
"y1732","1732","129","16","0","-71.08771532","42.33430916","None","2025-05-01T19:46:08-04:00","IN_TRANSIT_TO","","","8","11592"
"y0767","0767","75","1","0","-71.0097439","42.26001461","None","2025-05-01T19:45:12-04:00","STOPPED_AT","","","222","32004"
"y1613","1613","336","11","1","-71.09384732","42.287414","None","2025-05-01T19:46:06-04:00","IN_TRANSIT_TO","","","31","9406"
"y1896","1896","295","26","1","-71.08482906","42.328871999","None","2025-05-01T19:45:58-04:00","IN_TRANSIT_TO","","","23","1148"
"G-10024","3855-3687","90","350","1","-71.21215","42.31769","11.7","2025-05-01T19:46:10-04:00","INCOMING_AT","","","Green-D","70168"
"y3346","3346","70","14","0","-71.01589285","42.38359472","None","2025-05-01T19:46:12-04:00","STOPPED_AT","","","120","5875"
"y1291","1291","315","1","0","-71.06215","42.35525","None","2025-05-01T19:45:13-04:00","STOPPED_AT","","","749","49001"
"B-5482D385","0770","45","50","1","-71.03017","42.37435","None","2025-05-01T19:45:32-04:00","STOPPED_AT","","","Blue","70048"
"O-5482D36C","1522","25","20","1","-71.10443","42.31682","None","2025-05-01T19:46:09-04:00","STOPPED_AT","","","Orange","70005"
"B-5482D37F","0723","20","110","1","-70.99162","42.4135","None","2025-05-01T19:45:34-04:00","STOPPED_AT","","","Blue","70060"
"y1720","1720","26","2","0","-71.097222149","42.34847947","None","2025-05-01T19:46:07-04:00","IN_TRANSIT_TO","","","8","8993"
"y2065","2065","41","29","1","-71.04303738","42.3932929","None","2025-05-01T19:46:11-04:00","IN_TRANSIT_TO","","","112","15053"
